ID,Name,Amazon ID,EAN,URL (google),Name (google),Price (google),URL (ebay),Name (ebay),Price (ebay),URL (amazon),Name (amazon),Price (amazon)
322459,Scout Basic Buddy Schulranzen Set Koala Family 5 teilig Ranzen,B00QSVMIFK,4007953378992,https://www.google.de/shopping/product/8284822204370463535?q=4007953378992&prds=paur:ClkAsKraXxvkT6Kz-5XTd0IHAiiHHqZ_So-TC11HaFPjSH7K6QIEL0HzhuAAuuC_pjjf82m1cXtFEAC63ncLgvZm-riRKdITNevmBUMhZaL4EIP1666PZkUenBIZAFPVH73rzBUbroK7YIQmJOOxE9e9RB6fFg&sa=X&ved=0ahUKEwij3e-0y-HNAhWC2SwKHXumBV8Q8wIIGTAA,Scout Basic Buddy Schulranzen-Set 5-tlg Koala Family grГјn,"169,00",http://www.ebay.de/itm/SCOUT-Basic-Buddy-Schulranzen-Set-5tlg-Koala-Family-gratis-Tuschkasten-/121884036003?hash=item1c60dacba3:g:TVwAAOSwXshWsdgE,SCOUT Basic Buddy Schulranzen Set 5tlg. Koala Family + gratis Tuschkasten,"193,00",https://www.amazon.de/Scout-72500977300-Schule-Schulranzen-Set-Gr%C3%BCn/dp/B00QSVMIFK,Scout Basic Buddy Schulranzen-Set 5-tlg.,"196,00 - 250,01"
322460,Scout Basic Buddy Schulranzen Set Street Soccer 5 teilig Ranzen ,B00SICAQYW,4007953378923,https://www.google.de/shopping/product/16523302934580150792?q=4007953378923&prds=paur:ClkAsKraX2Nc2ipViLnlqMt4Y97mTWzbVA430gOl8TQjJNXgXvGNIxEH7KIYeeB_nIm5Aj2X8mKILb_WSkLj2EgL-WKzRQd0BSl0xPuFBBprHyS9hS4sjz2d6hIZAFPVH73aN2ADyKcVcaqXY1Z48iKm2ZW__g&sa=X&ved=0ahUKEwij2dGyy-HNAhVBiSwKHWV5CswQ8wIIGTAA,Scout Basic Buddy Schulranzen-Set 5-tlg Street Soccer grГјn,"212,00",http://www.ebay.de/itm/Scout-Schulranzen-Buddy-Set-5tlg-Street-Soccer-Gratis-Pelikan-Deckfarbkasten-/151621293638?hash=item234d555646:g:gBAAAOSwKtlWqmzm,Scout Schulranzen Buddy Set 5tlg. Street Soccer + Gratis Pelikan Deckfarbkasten,"212,00",https://www.amazon.de/Scout-72500998800-Schule-Schulranzen-Set-Gr%C3%BCn-Fu%C3%9Fball/dp/B00SICAQYW,Scout Basic Buddy Schulranzen-Set 5-tlg.,"196,00 - 250,01"
322461,Scout Basic Sunny Schulranzen Set Flowery Island 5 teilig Ranzen ,B00QOHNQGS,4007953378497,https://www.google.de/shopping/product/624059601908673468?q=4007953378497&prds=paur:ClkAsKraXxP3tj8a3E6vtvgIvMnvhyW2xGbixcuvT14bNz0hlNp1nmIcHm1MbNu4FzMTKeDYFXOphyDfMrYq4urzYHc6uCVfwjfbApHXozXdrXv1ZkWLJcgn5xIZAFPVH70H9Si4eT9HJw44dfDp7flCeOBdqg&sa=X&ved=0ahUKEwjG2PS1y-HNAhXBiCwKHT5FA5EQ8wIIGTAA,Scout Basic Schulranzen-Set 5-tlg Sunny Flowery Island pink,"149,00",http://www.ebay.de/itm/Scout-Schulranzen-Sunny-Set-5tlg-Flowery-Island-Gratis-Pelikan-Deckfarbkasten-/151591803013?hash=item234b935885:g:~SMAAOSwNSxU4gjW,Scout Schulranzen Sunny Set 5tlg. Flowery Island + Gratis Pelikan Deckfarbkasten,"212,00",https://www.amazon.de/Scout-Sunny-Flowery-Schulranzen-Set-Rosa/dp/B00QOHNQGS,Scout Buddy Schulranzen-Set,"204,99 - 250,01"
322463,Scout Basic Sunny Schulranzen Set TГјtГј 5 teilig Ranzen ,B00QOHNTG0,4007953378473,https://www.google.de/shopping/product/17624140382479364759?q=4007953378473&prds=paur:ClkAsKraXxhLDwW2OmDggJpxhqaS9GZMq6rOmdCLRqRc7EB82cwcQNBXV-8HzO9u4yPMv_-E6ZsiYPHdk-WQAIZkb5HGVvk06aNvI0OFHwbOVflEztkFx6mUjhIZAFPVH73NJrrbGcMbUM8dzyo3SmCFvL5lGw&sa=X&ved=0ahUKEwis8Lqyy-HNAhXE1iwKHWFuDWMQ8wIIGTAA,Scout Basic Schulranzen-Set 5-tlg Sunny TГјtГј lila,"212,00",http://www.ebay.de/itm/Scout-Sunny-Set-5-teilig-Schulranzen-Schulrucksack-Tutu-Lila-Violett-/311598063669?hash=item488cb12035:g:QBMAAOSwiYFXGqH2,Scout Sunny Set 5-teilig Schulranzen Schulrucksack TГјtГј Lila Violett,"212,00",https://www.amazon.de/Scout-Sunny-T%C3%BCt%C3%BC-Schulranzen-Set-Lila/dp/B00QOHNTG0,Scout Buddy Schulranzen-Set,"204,99 - 250,01"
322464,Scout Basic Sunny Schulranzen Set Dino 5 teilig Ranzen ,B00QSVNIFY,4007953378466,https://www.google.de/shopping/product/5248266253209385647?q=4007953378466&prds=paur:ClkAsKraX6FTAtOLd4RtEq6RFOKwH-qFDG6XkLmRToMBGJk1Uzz5Kh_Fd53RRjTnBZg2ddzbiDTqmrlQieZGPm0yXACzq4fQObCU7Q5YVuZxDHF3hb7hKHnGdRIZAFPVH71JNTbkBIIcC2i8sdXTQpDOIlf0Qw&sa=X&ved=0ahUKEwjRgOO0y-HNAhUJiSwKHYyAAY8Q8wIIGTAA,Scout Basic Schulranzen-Set 5-tlg Sunny Dino blau,"212,00",http://www.ebay.de/itm/Scout-Emotion-Sunny-Schulranzen-Schulrucksack-Backpack-Kind-Set-5-tlg-/231836320013?hash=item35fa85810d:g:Fk4AAOSwX~dWs-EE,Scout Emotion Sunny Schulranzen Schulrucksack Backpack Kind-Set 5-tlg.,"212,00",https://www.amazon.de/Scout-73510769800-Schule-Schulranzen-Set-Blau/dp/B00QSVNIFY,Scout Buddy Schulranzen-Set,"204,99 - 250,01"
322466,Scout Basic Sunny Schulranzen Set Runner 5 teilig Ranzen ,B00R8QLF9O,4007953378428,https://www.google.de/shopping/product/9235835409470650574?q=4007953378428&prds=paur:ClkAsKraX2dkwE9-woc1I9KcFl8wmrWbqXDuggCi9Fmz2IydCnPpWhwyzn0e4rmBL_IklfVAoeFbPhmaOvvqpIb-VtftXOyw_POdWWekL0JqNdYWrI6TrU8uERIZAFPVH71rRys8d0cSUYqjuKEVqMIEnDoLZQ&sa=X&ved=0ahUKEwiG7b61y-HNAhWCkywKHVrvAMYQ8wIIGTAA,Scout Basic Schulranzen-Set 5-tlg Sunny Runner blau,"212,00",http://www.ebay.de/itm/Scout-Sunny-Set-5-teilig-Schulranzen-Schulrucksack-Runner-Blau-/401109869061?hash=item5d6402e205:g:miYAAOSwXj5XGqZ3,Scout Sunny Set 5-teilig Schulranzen Schulrucksack Runner Blau,"212,00",https://www.amazon.de/Scout-73510772000-Schulranzen-Set-40-Dunkelblau/dp/B00R8QLF9O,Scout Buddy Schulranzen-Set,"204,99 - 250,01"
322467,Scout Basic Sunny Schulranzen Set 3 Freunde 5 teilig Ranzen ,B00QY21FTI,4007953379388,https://www.google.de/shopping/product/4492588450202087755?q=4007953379388&prds=paur:ClkAsKraX2_UL5lezQlbV5R9yEsRBii5jl6I0N0ZVfpLkaQdYPHJ6X_S6zhuXuiesu8voKKx2s02fxFEx3G-o2pl_OUg9NM3DT4ZyXKGblwryAwnXvMfBNvcMxIZAFPVH73ipfXGHGozfzXqckFP2uTvZ71QZA&sa=X&ved=0ahUKEwj6p7e1y-HNAhXCXCwKHZcgAcoQ8wIIGTAA,"Scout 73510774600 Schulranzenset Sunny 3 Freunde, 5-tlg.","212,00",http://www.ebay.de/itm/Scout-Schulranzen-Sunny-Set-5tlg-3-Freunde-Gratis-Pelikan-Deckfarbkasten-/111600474710?hash=item19fbe81a56:g:clgAAOSwyjBW2XrL,Scout Schulranzen Sunny Set 5tlg. 3 Freunde + Gratis Pelikan Deckfarbkasten,"212,00",https://www.amazon.de/Scout-73510774600-Schulranzen-Set-40-Rot/dp/B00QY21FTI,Scout Buddy Schulranzen-Set,"204,99 - 250,01"
322469,Scout Basic Sunny Schulranzen Set Street Soccer 5 teilig Ranzen ,B00PD7DT5I,4007953378411,https://www.google.de/shopping/product/4112742269960816938?q=4007953378411&prds=paur:ClkAsKraXzBM6rqB_2apKumL-PO_kOVaJ-S5KXBbvmnlKi3d2UXfhHVHsiIkqK_WQDW2FcGv-it3TGs8VWpyvWpg0dvDvGVMTZs4UWtCqgLZTOGquAe2anA89hIZAFPVH72a5NN3jBqybg0bbNGU4MdsHHPN7A&sa=X&ved=0ahUKEwixj5m0y-HNAhXB1SwKHcXYBpwQ8wIIGTAA,Scout Basic Schulranzen-Set 5-tlg Sunny Street Soccer grГјn,"212,00",http://www.ebay.de/itm/Scout-Premium-Design-Sunny-Schulranzen-Set-5-teilig-Street-Soccer-/381292102648?hash=item58c6c7c3f8:g:RQoAAOSwKrhVeX8J,Scout Premium Design Sunny Schulranzen Set 5-teilig Street Soccer,"212,00",https://www.amazon.de/Scout-73510798800-Schule-Schulranzen-Set-Gr%C3%BCn/dp/B00PD7DT5I,Scout Buddy Schulranzen-Set,"204,99 - 250,01"
322625,Dakine 101 29 l Schulrucksack Townsend Rucksack Laptoprucksack,B00CMO2ZVE,610934778472,None,None,None,http://www.ebay.de/itm/DAKINE-GARDEN-20L-Olivette-Rucksack-Schulrucksack-Laptop-8210250-NEU-/291688207176?hash=item43e9f8d348:g:Nl8AAOSwB4NWxi6a,"DAKINE GARDEN 20L Olivette, Rucksack, Schulrucksack, Laptop, 8210250 ~NEU~","49,99",None,None,None
324360,Herlitz Flexi Plus Ranzen Set 5 teilig Rainbow Schulranzen,B00O8SM0TY,4008110511740,https://www.google.de/shopping/product/17847207583340594935?q=4008110511740&prds=paur:ClkAsKraXxkvUZiH8gU969heoNzdwmM0aGkmlc8lNEp7naUuy5dHVeU3lUYt0phBzJiEtO18z4jZx6WxWqXo44-JLNIwBkxaK8l5DWaPcQs5vlBGWAOdbfgeJxIZAFPVH72iyRGMIA1ua7KS07QnyRMWw9U0Sw&sa=X&ved=0ahUKEwiM2cazy-HNAhUGlSwKHRTQDI8Q8wIIGTAA,Herlitz Flexi Plus Rainbow Rucksack,"77,34",http://www.ebay.de/itm/herlitz-Schulranzen-Flexi-Plus-Rainbow-pink-/182157665981?var=&hash=item2a697166bd:m:mHo0Ivay67yv9I_zC5_08WQ,"herlitz Schulranzen Flexi Plus ""Rainbow"", pink","79,50",https://www.amazon.de/Herlitz-11407152-Schulranzen-Flexi-Rainbow/dp/B00O8SM0TY,Herlitz 11407152 Schulranzen Flexi Plus Rainbow,"90,80"
